,Colouring,Director,Critic Review Count,Duration,Director Facebook Likes,Actor 3 Facebook Likes,Actor 2,Actor 1 Facebook Likes,Gross,Genres,Actor 1,Title,IMDb Votes,Cast Facebook Likes,Actor 3,Poster Facenumber,Plot Keywords,IMDb Link,User Review Count,Language,Country,Countent Rating,Budget,Actor 2 Facebook Likes,IMDb Score,Aspect Ratio,Facebook Likes,IMDb ID,id,Popularity,Revenue,Cast,Homepage,Tagline,Overview,Runtime,Production Companies,Release Date,Vote Count,Average Vote,Release Year,Adjusted Budget,Adjusted Revenue
3729,Color,Randall Miller,109.0,110.0,19.0,39.0,Freddy Rodr??guez,25000.0,4040588.0,Comedy,Alan Rickman,Bottle Shock,12233,25676,Greg Collins,0.0,airport|california|flat tire|overalls|wine,http://www.imdb.com/title/tt0914797/?ref_=fn_tt_tt_1,89.0,English,USA,PG-13,5000000.0,579.0,6.8,2.35,0,tt091479,13996,0.168979,4040588,Alan Rickman|Chris Pine|Bill Pullman|Rachael Taylor|Freddy RodrÃ­guez,http://www.bottleshockthemovie.com/,"Based on a true story of love, victory, and fermentation","Paris-based wine expert Steven Spurrier heads to California in search of cheap wine that he can use for a blind taste test in the French capital. Stumbling upon the Napa Valley, the stuck-up Englishman is shocked to discover a winery turning out top-notch chardonnay. Determined to make a name for himself, he sets about getting the booze back to Paris.",110,Zininsa Film Production|Intellectual Properties Worldwide,8/6/2008,31,6.4,2008,5063933.169,4092253.519
3771,Color,Lana Wachowski,120.0,109.0,0.0,126.0,Kevin Michael Richardson,3000.0,3798532.0,Crime,Christopher Meloni,Bound,41138,3668,Peter Spellos,0.0,gangster|lesbian|mafia|money|neo noir,http://www.imdb.com/title/tt0115736/?ref_=fn_tt_tt_1,208.0,English,USA,R,4500000.0,441.0,7.4,1.85,2000,tt011573,316410,0.334085,0,Charisma Carpenter|Bryce Draper|Daniel Baldwin|Morgan Obenreder|Michael Monks,http://www.theasylum.cc/product.php?id=262,No grey... only black and white.,"The daughter of a wealthy real estate mogul falls in love with a younger man, and she is introduced to the world of BDSM. With her newly awakened sexual prowess, she is finally able to take control of her life.",90,The Asylum,1/9/2015,21,3.1,2015,0.0,0.0
3772,Color,Lana Wachowski,120.0,109.0,0.0,126.0,Kevin Michael Richardson,3000.0,3798532.0,Crime,Christopher Meloni,Bound,41138,3668,Peter Spellos,0.0,gangster|lesbian|mafia|money|neo noir,http://www.imdb.com/title/tt0115736/?ref_=fn_tt_tt_1,208.0,English,USA,R,4500000.0,441.0,7.4,1.85,2000,tt011573,9303,0.833267,7011317,Jennifer Tilly|Gina Gershon|Joe Pantoliano|John P. Ryan|Christopher Meloni,,"In their world, you can't buy freedom, but you can steal it.","Corky, a tough female ex con and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caeser.",108,Dino De Laurentiis Company|Spelling Films,9/13/1996,100,6.5,1996,6255975.325,9747250.256
1039,Color,Frank Oz,140.0,85.0,0.0,490.0,Adam Alexi-Malle,21000.0,66365290.0,Comedy,Robert Downey Jr.,Bowfinger,56874,22458,Jamie Kennedy,2.0,film within a film|filmmaking|guerrilla filmmaking|making of a movie|scientology parody,http://www.imdb.com/title/tt0131325/?ref_=fn_tt_tt_1,358.0,English,USA,PG-13,55000000.0,860.0,6.4,1.37,0,tt013132,11353,0.312306,0,Steve Martin|Eddie Murphy|Heather Graham|Christine Baranski|Jamie Kennedy,,The con is on.,"On the verge of bankruptcy and desperate for his big break, aspiring filmmaker Bobby Bowfinger concocts a crazy plan to make his ultimate dream movie. Rallying a ragtag team that includes a starry-eyed ingenue, a has-been diva and a film studio gofer, he sets out to shoot a blockbuster featuring the biggest star in Hollywood, Kit Ramsey -- only without letting Ramsey know he's in the picture.",97,Universal Pictures,8/12/1999,112,6.0,1999,71997906.56,0.0
3900, Black and White,Michael Moore,215.0,120.0,909.0,184.0,Dick Clark,909.0,21244913.0,Crime,Michael Moore,Bowling for Columbine,123090,1779,Bill Clinton,2.0,bank|columbine|columbine high school killings|firearm|school shooting,http://www.imdb.com/title/tt0310793/?ref_=fn_tt_tt_1,888.0,English,Germany,R,4000000.0,504.0,8.0,1.85,4000,tt031079,1430,1.005772,35564473,Michael Moore|George H. W. Bush|George W. Bush|Dick Clark|Charlton Heston,http://www.bowlingforcolumbine.com/index.php,One nation under the gun.,"Why do 11,000 people die in America each year at the hands of gun violence? Talking heads yelling from every TV camera blame everything from Satan to video games. But are we that much different from many other countries? What sets us apart? How have we become both the master and victim of such enormous amounts of violence? This is not a film about gun control. It is a film about the fearful heart and soul of the United States, and the 280 million Americans lucky enough to have the right to a constitutionally protected Uzi. From a look at the Columbine High School security camera tapes to the home of Oscar-winning NRA President Charlton Heston, from a young man who makes homemade napalm with The Anarchist's Cookbook to the murder of a six-year-old girl by another six-year-old, Bowling for Columbine is a journey through America, through our past, hoping to discover why our pursuit of happiness is so riddled with violence.",120,Alliance Atlantis Communications|TiMe Film- und TV-Produktions GmbH|Vif Babelsberger Filmproduktion GmbH & Co. Zweite KG|Dog Eat Dog Films|Iconolatry Productions Inc.,10/9/2002,235,7.2,2002,4849045.574,43113437.6
3814,Color,Richard Linklater,548.0,165.0,0.0,127.0,Lorelei Linklater,230.0,25359200.0,Drama,Ellar Coltrane,Boyhood,266020,673,Libby Villari,0.0,12 year time span|coming of age|domestic abuse|growing up|separated parents,http://www.imdb.com/title/tt1065073/?ref_=fn_tt_tt_1,836.0,English,USA,R,4000000.0,193.0,8.0,1.85,92000,tt106507,85350,2.595951,44349000,Ellar Coltrane|Patricia Arquette|Ethan Hawke|Elijah Smith|Lorelei Linklater,,12 years in the making.,"The film tells a story of a divorced couple trying to raise their young son. The story follows the boy for twelve years, from first grade at age 6 through 12th grade at age 17-18, and examines his relationship with his parents as he grows.",164,Detour Filmproduction|IFC Productions,6/5/2014,1343,7.6,2014,3684364.203,40849467.01
4009,Color,Kimberly Peirce,123.0,118.0,108.0,103.0,Brendan Sexton III,173.0,11533945.0,Biography,Alicia Goranson,Boys Don't Cry,77551,563,Jeannetta Arnette,0.0,drinking|female dressed as male|love|nebraska|transgender,http://www.imdb.com/title/tt0171804/?ref_=fn_tt_tt_1,434.0,English,USA,R,2000000.0,148.0,7.6,1.85,0,tt017180,226,1.43163,11540607,Hilary Swank|ChloÃ« Sevigny|Peter Sarsgaard|Brendan Sexton III|Alicia Goranson,http://www.foxsearchlight.com/boysdontcry/,A true story about finding the courage to be yourself.,"Female born, Teena Brandon adopts his male identity of Brandon Teena and attempts to find himself and love in Nebraska.",118,Fox Searchlight Pictures|The Independent Film Channel Productions|IFC Films|Killer Films|Hart-Sharp Entertainment,9/2/1999,170,7.0,1999,2618105.693,15107264.44
2780,Color,Robert Iscove,67.0,94.0,7.0,95.0,Amanda Detmer,3000.0,20627372.0,Comedy,Alyson Hannigan,Boys and Girls,13661,3451,Tsianina Joelson,3.0,best friend|break up|friendship|graduation|male in underwear,http://www.imdb.com/title/tt0204175/?ref_=fn_tt_tt_1,134.0,English,USA,PG-13,16000000.0,240.0,5.3,1.85,487,tt020417,10571,0.417675,20627372,Freddie Prinze Jr.|Claire Forlani|Jason Biggs|Amanda Detmer,,Warning: Sex Changes Everything,"Ryan and Jennifer are opposites who definitely do not attract. At least that's what they always believed. When they met as twelve-year-olds, they disliked one another. When they met again as teenagers, they loathed each other. But when they meet in college, the uptight Ryan and the free-spirited Jennifer find that their differences bind them together and a rare friendship develops.",94,Dimension Films,6/16/2000,53,5.3,2000,20260673.83,26120278.5
3570,Color,John Singleton,64.0,112.0,309.0,15.0,Lloyd Avery II,27.0,57504069.0,Crime,John Cothran,Boyz n the Hood,94139,106,Na'Blonka Durden,2.0,drugs|escape|football|friend|violence,http://www.imdb.com/title/tt0101507/?ref_=fn_tt_tt_1,183.0,English,USA,R,6000000.0,26.0,7.8,1.85,0,tt010150,650,0.649755,57504069,Laurence Fishburne|Cuba Gooding Jr.|Ice Cube|Morris Chestnut|Angela Bassett,,Once upon a time in South Central L.A... It ain't no fairy tale.,Boyz n the Hood is the popular and successful film and social criticism from John Singleton about the conditions in South Central Los Angeles where teenagers are involved in gun fights and drug dealing on a daily basis.,112,Columbia Pictures Corporation,7/12/1991,168,7.3,1991,10407103.47,92069353.26
105,Color,Mark Andrews,488.0,93.0,56.0,838.0,John Ratzenberger,2000.0,237282182.0,Adventure,Kelly Macdonald,Brave,273556,5005,Julie Walters,0.0,archery|coming of age|female warrior|princess|rebellious daughter,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428.0,English,USA,PG,185000000.0,1000.0,7.2,2.35,39000,tt121720,62177,3.626741,538983207,Kelly Macdonald|Julie Walters|Billy Connolly|Emma Thompson|Kevin McKidd,http://disney.go.com/brave/#/home,Change your fate.,"Brave is set in the mystical Scottish Highlands, where MÃ©rida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, MÃ©rida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, MÃ©rida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into MÃ©ridaâ€™s quest â€” and serving as comic relief â€” are the kingdomâ€™s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",93,Walt Disney Pictures|Pixar Animation Studios,6/21/2012,3206,6.6,2012,175702692.1,511896218.6
754,Color,Mel Gibson,132.0,178.0,0.0,403.0,Patrick McGoohan,906.0,75600000.0,Biography,Mhairi Calvey,Braveheart,736638,1976,James Robinson,1.0,14th century|legend|revolt|scotland|tyranny,http://www.imdb.com/title/tt0112573/?ref_=fn_tt_tt_1,1065.0,English,USA,R,72000000.0,466.0,8.4,2.35,17000,tt011257,197,2.533323,210000000,Mel Gibson|Catherine McCormack|Sophie Marceau|Patrick McGoohan|Angus Macfadyen,,Every man dies.  Not every man truly lives.,"Enraged at the slaughter of Murron, his new bride and childhood love, legendary Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",177,Icon Entertainment International|The Ladd Company|B.H. Finance C.V.,5/24/1995,2205,7.5,1995,103029614.4,300503042.1
2919,Color,Terry Gilliam,230.0,142.0,0.0,1000.0,Bob Hoskins,22000.0,9929000.0,Drama,Robert De Niro,Brazil,152306,29475,Jim Broadbent,0.0,black comedy|bureaucracy|dream|terrorist|wrongful arrest,http://www.imdb.com/title/tt0088846/?ref_=fn_tt_tt_1,513.0,English,UK,R,15000000.0,5000.0,8.0,1.85,16000,tt008884,68,1.105634,0,Jonathan Pryce|Robert De Niro|Katherine Helmond|Ian Holm|Bob Hoskins,,It's only a state of mind.,"Brazil is a Terry Gilliam dystopic black comedy film that reflects the melancholy, dreamlike quality of a famous Brazilian song thatâ€™s been translated into English. The film parodies the mostly dysfunctional bureaucratic world we live in and takes us to a post-apocalyptic world in the future yet with our present day attitudes in mind.",132,Embassy International Pictures,2/20/1985,434,7.4,1985,30407490.78,0.0
1590,Color,Jonathan Mostow,72.0,93.0,84.0,263.0,M.C. Gainey,551.0,50129186.0,Action,Kathleen Quinlan,Breakdown,38399,1874,J.T. Walsh,0.0,car breakdown|diner|jeep|paranoia|violence,http://www.imdb.com/title/tt0118771/?ref_=fn_tt_tt_1,218.0,English,USA,R,36000000.0,284.0,6.9,2.35,0,tt011877,2163,0.8353360000000001,50159144,Kurt Russell|J. T. Walsh|Kathleen Quinlan|M.C. Gainey|Jack Noseworthy,,It could happen to you.,"When his SUV breaks down on a remote Southwestern road, Jeff Taylor lets his wife, Amy, hitch a ride with a trucker to get help. When she doesn't return, Jeff fixes his SUV and tracks down the trucker -- who tells the police he's never seen Amy. Johnathan Mostow's tense thriller then follows Jeff's desperate search for his wife, which eventually uncovers a small town's murderous secret.",95,Paramount Pictures|Dino De Laurentiis Company|Spelling Films,5/2/1997,84,6.5,1997,48904571.56,68139206.86
3157,Color,Alan Rudolph,42.0,110.0,18.0,865.0,Albert Finney,13000.0,175370.0,Comedy,Bruce Willis,Breakfast of Champions,6884,17417,Omar Epps,1.0,breakfast|manitoba|science fiction writer|suicide|writer,http://www.imdb.com/title/tt0120618/?ref_=fn_tt_tt_1,133.0,English,USA,R,12000000.0,883.0,4.6,1.85,458,tt012061,12479,0.175782,0,Bruce Willis|Albert Finney|Nick Nolte|Barbara Hershey|Glenne Headly,,,A portrait of a fictional town in the mid west that is home to a group of idiosyncratic and slightly neurotic characters. Dwayne Hoover is a wealthy car dealer-ship owner that's on the brink of suicide and is losing touch with reality.,110,Hollywood Pictures,2/13/1999,15,4.8,1999,15708634.16,0.0
3400,Color,Daniel Taplitz,39.0,85.0,2.0,127.0,Tate Taylor,911.0,11827301.0,Comedy,Jennifer Esposito,Breakin' All the Rules,4247,1345,Patrick Cranshaw,1.0,female to male foot in crotch|lingerie slip|love|mistaken identity|writer,http://www.imdb.com/title/tt0349169/?ref_=fn_tt_tt_1,26.0,English,USA,PG-13,,150.0,5.5,2.35,266,tt034916,16428,0.283493,0,Jamie Foxx|Morris Chestnut|Jennifer Esposito|Gabrielle Union|Peter MacNicol,,When it comes to getting dumped... He wrote the book.,"Inspired by his fiancÃ©e (who dumped him), a man publishes a break-up handbook for men, becoming a bestselling author in the process.",85,Screen Gems|Breakup Productions,5/14/2004,14,6.1,2004,0.0,0.0
2027,Color,Camille Delamarre,177.0,100.0,11.0,561.0,Robert Maillet,23000.0,20285518.0,Action,Paul Walker,Brick Mansions,32103,25387,RZA,2.0,bare chested male bondage|crime lord|die hard scenario|two word title|undercover,http://www.imdb.com/title/tt1430612/?ref_=fn_tt_tt_1,112.0,English,France,PG-13,28000000.0,727.0,5.7,2.35,0,tt143061,254473,0.979655,68896829,Paul Walker|David Belle|RZA|Robert Maillet|Carlo Rota,,Undercover and never Outgunned,"In a dystopian Detroit, grand houses that once housed the wealthy are now homes of the city's most-dangerous criminals. Surrounding the area is a giant wall to keep the rest of Detroit safe. For undercover cop Damien Collier, every day is a battle against corruption as he struggles to bring his father's killer, Tremaine, to justice. Meanwhile, Damien and an ex-con named Lino work together to save the city from a plot to destroy it.",90,Canal+|EuropaCorp|CinÃ©+|D8,4/22/2014,476,5.8,2014,25790549.42,63460252.62
3539,Color,Gurinder Chadha,119.0,122.0,98.0,397.0,Martin Henderson,729.0,6601079.0,Comedy,Indira Varma,Bride & Prejudice,17436,2321,Anupam Kher,1.0,bollywood|india|jane austen|london england|travel,http://www.imdb.com/title/tt0361411/?ref_=fn_tt_tt_1,276.0,English,UK,PG-13,7000000.0,579.0,6.2,2.35,0,tt036141,57825,0.626685,0,Aishwarya Rai Bachchan|Martin Henderson|Naveen Andrews|Daniel Gillies|Indira Varma,,Bollywood meets Hollywood... And it's a perfect match,"A Bollywood update of Jane Austen's classic tale, in which Mrs. Bakshi is eager to find suitable husbands for her four unmarried daughters. When the rich single gentlemen Balraj and Darcy come to visit, the Bakshis have high hopes, though circumstance and boorish opinions threaten to get in the way of romance.",111,,2/11/2004,64,6.8,2004,8081117.799,0.0
1848,Color,Gary Winick,152.0,89.0,56.0,545.0,Steve Howey,11000.0,58715510.0,Comedy,Anne Hathaway,Bride Wars,79094,13794,Candice Bergen,2.0,best friend|dyed hair|fake tan|rivalry|wedding,http://www.imdb.com/title/tt0901476/?ref_=fn_tt_tt_1,129.0,English,USA,PG,30000000.0,826.0,5.4,1.85,0,tt090147,10521,1.074072,114663461,Anne Hathaway|Kate Hudson|Bryan Greenberg|Chris Pratt|Steve Howey,http://www.bridewars.com,May the best bride win,Two best friends become rivals when their respective weddings are accidentally booked for the same day.,89,Dune Entertainment|Regency Enterprises|Fox 2000 Pictures|Dune Entertainment III|New Regency Pictures,1/9/2009,501,5.8,2009,30492013.02,116543991.5
2170,Color,Ronny Yu,114.0,89.0,31.0,71.0,Park Bench,285.0,32368960.0,Comedy,Alexis Arquette,Bride of Chucky,39768,667,Vince Corazza,0.0,blood|doll|gore|murder|serial killer,http://www.imdb.com/title/tt0144120/?ref_=fn_tt_tt_1,292.0,English,Canada,R,25000000.0,81.0,5.3,1.85,0,tt014412,11932,0.640933,50671850,Ed Gale|Jennifer Tilly|Brad Dourif|Katherine Heigl|Nick Stabile,,Chucky Gets Lucky.,"Chucky hooks up with another murderous doll, the bridal gown-clad Tiffany, for a Route 66 murder spree with their unwitting hosts.",89,Midwinter Productions Inc.,10/16/1998,162,5.4,1998,33442386.73,67783504.15
1778,Color,Paul Feig,371.0,131.0,176.0,460.0,Wendi McLendon-Covey,722.0,169076745.0,Comedy,Matt Lucas,Bridesmaids,218711,3229,Steve Bannos,6.0,best friend|failure|food|job|partial female nudity,http://www.imdb.com/title/tt1478338/?ref_=fn_tt_tt_1,485.0,English,USA,R,32500000.0,655.0,6.8,2.35,27000,tt147833,55721,2.208685,288383523,Kristen Wiig|Rose Byrne|Maya Rudolph|Wendi McLendon-Covey|Ellie Kemper,http://www.bridesmaidsmovie.com/,Save the date,"Annieâ€™s life is a mess. But when she finds out her lifetime best friend is engaged, she simply must serve as Lillianâ€™s maid of honor. Though lovelorn and broke, Annie bluffs her way through the expensive and bizarre rituals. With one chance to get it perfect, sheâ€™ll show Lillian and her bridesmaids just how far youâ€™ll go for someone you love.",125,Universal Pictures|Relativity Media|Apatow Productions,4/28/2011,1145,6.5,2011,31505436.38,279558422.7
1432,Color,Steven Spielberg,459.0,142.0,14000.0,423.0,Mark Rylance,15000.0,72306065.0,Drama,Tom Hanks,Bridge of Spies,178118,16944,Amy Ryan,0.0,cia|cold war|lawyer|negotiation|spy,http://www.imdb.com/title/tt3682448/?ref_=fn_tt_tt_1,355.0,English,USA,PG-13,40000000.0,535.0,7.6,2.35,55000,tt368244,296098,3.64821,162610473,Tom Hanks|Mark Rylance|Amy Ryan|Alan Alda|Sebastian Koch,,"In the shadow of war, one man showed the world what we stood for.","During the Cold War, the Soviet Union captures U.S. pilot Francis Gary Powers after shooting down his U-2 spy plane. Sentenced to 10 years in prison, Powers' only hope is New York lawyer James Donovan, recruited by a CIA operative to negotiate his release. Donovan boards a plane to Berlin, hoping to win the young man's freedom through a prisoner exchange. If all goes well, the Russians would get Rudolf Abel, the convicted spy who Donovan defended in court.",141,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,10/15/2015,1638,7.1,2015,36799983.81,149601569.3
2136,Color,Gabor Csupo,181.0,96.0,47.0,3000.0,Zooey Deschanel,14000.0,82234139.0,Adventure,Josh Hutcherson,Bridge to Terabithia,110390,28071,Bailee Madison,3.0,bully|friend|imagination|reality|troll,http://www.imdb.com/title/tt0398808/?ref_=fn_tt_tt_1,522.0,English,USA,PG,17000000.0,11000.0,7.2,1.85,6000,tt039880,1265,2.089502,137587063,Josh Hutcherson|AnnaSophia Robb|Zooey Deschanel|Kate Butler|Bailee Madison,http://disney.go.com/disneyvideos/liveaction/bridgetoterabithia/,"Close your eyes, but keep your mind wide open.","Jesse Aarons trained all summer to become the fastest runner in school, so he's very upset when newcomer Leslie Burke outruns him and everyone else. Despite this and other differences, including that she's rich, he's poor, and she's a city girl, he's a country boy, the two become fast friends. Together, they create Terabithia, a land of monsters, trolls, ogres, and giants and rule as king and queen. This friendship helps Jess cope with the tragedy that makes him realize what Leslie taught him.",96,Walden Media|Hal Lieberman Company|Lauren Levine Productions Inc.,2/16/2007,564,6.9,2007,63100114.96,144695991.5
2119,Color,Sharon Maguire,168.0,97.0,11.0,887.0,Jim Broadbent,14000.0,71500556.0,Comedy,Colin Firth,Bridget Jones's Diary,171568,16999,Shirley Henderson,3.0,american actress playing british character|book publishing|calorie counting|employer employee relationship|rabbit costume,http://www.imdb.com/title/tt0243155/?ref_=fn_tt_tt_1,571.0,English,UK,R,26000000.0,1000.0,6.7,2.35,0,tt024315,634,2.7173990000000003,281929795,RenÃ©e Zellweger|Colin Firth|Hugh Grant|Gemma Jones|Jim Broadbent,,Health Warning: Adopting Bridget's lifestyle could seriously damage your health.,Bridget Jonesâ€™s Diary is a romantic love story comedy from the best selling novel of the same name by Helen Fielding. A chaotic Jones meets a snobbish lawyer named Mark and soon he enters into her world of imperfections.,97,Miramax Films|Universal Pictures|Studio Canal|Working Title Films|Little Bird,4/13/2001,751,6.5,2001,30787202.92,347193192.3
1175,Color,Beeban Kidron,143.0,108.0,17.0,186.0,Jim Broadbent,14000.0,40203020.0,Comedy,Colin Firth,Bridget Jones: The Edge of Reason,74315,15634,Celia Imrie,1.0,american actress playing british character|intern|prison|six word title|thailand,http://www.imdb.com/title/tt0317198/?ref_=fn_tt_tt_1,259.0,English,UK,R,40000000.0,1000.0,5.9,2.35,0,tt031719,9801,3.990488,40203020,RenÃ©e Zellweger|Hugh Grant|Colin Firth|Jim Broadbent|Gemma Jones,,Same Bridget. Brand new diary.,"The story picks up four weeks after the first film, and already Bridget Jones is becoming uncomfortable in her relationship with Mark Darcy. Apart from discovering that he's a conservative voter, she has to deal with a new boss, strange contractor, and the worst vacation of her life.",108,Miramax Films|Universal Pictures|Studio Canal|Working Title Films|Atlantic Television,11/10/2004,431,6.0,2004,57722269.99,46412191.5
2195,Color,James Bridges,28.0,107.0,21.0,418.0,Phoebe Cates,967.0,16118077.0,Drama,Dianne Wiest,"Bright Lights, Big City",5817,3067,Swoosie Kurtz,0.0,estranged wife|fashion show|magazine|new york city|writer,http://www.imdb.com/title/tt0094799/?ref_=fn_tt_tt_1,37.0,English,USA,R,25000000.0,767.0,5.6,1.85,377,tt009479,17170,0.238423,0,Michael J. Fox|Kiefer Sutherland|Phoebe Cates|Jason Robards|Dianne Wiest,,,"A young kid from Kansas moves to New York to work on a magazine. He gets caught up in the world of drink and drugs, and starts a steady decline. The only hope is the cousin of one of his drinking partners, can she pull him through it ?",107,United Artists|Mirage Enterprises|CST Telecommunications|Star Partners,4/1/1988,12,3.9,1988,0.0,0.0
3429,Color,Jane Campion,222.0,119.0,319.0,179.0,Paul Schneider,2000.0,4440055.0,Biography,Abbie Cornish,Bright Star,21360,3279,Samuel Roukin,0.0,19th century|friend|john keats|passion|poet,http://www.imdb.com/title/tt0810784/?ref_=fn_tt_tt_1,110.0,English,UK,PG,8500000.0,552.0,7.0,1.85,0,tt081078,29963,0.492366,4440055,Abbie Cornish|Ben Whishaw|Paul Schneider|Kerry Fox|Edie Martin,http://www.brightstar-movie.com/,First love burns brightest.,"In 1818, high-spirited young Fanny Brawne finds herself increasingly intrigued by the handsome but aloof poet John Keats, who lives next door to her family friends the Dilkes. After reading a book of his poetry, she finds herself even more drawn to the taciturn Keats. Although he agrees to teach her about poetry, Keats cannot act on his reciprocated feelings for Fanny, since as a struggling poet he has no money to support a wife.",119,BBC Films|PathÃ© Renn Productions|UK Film Council|Screen Australia|Australian Film Finance Corporation (AFFC),11/5/2009,65,6.3,2009,8639403.69,4512873.83
3214,Color,Rowan Joffe,136.0,111.0,17.0,405.0,Sean Harris,845.0,,Crime,Sam Riley,Brighton Rock,5013,3117,Geoff Bell,2.0,brighton|catholic|gang|prayer|waitress,http://www.imdb.com/title/tt1233192/?ref_=fn_tt_tt_1,59.0,English,UK,R,12000000.0,641.0,5.7,2.35,0,tt123319,62728,0.408233,0,Andy Serkis|Helen Mirren|John Hurt|Sam Riley|Andrea Riseborough,http://brightonrockmovie.com/,Love. Murder. Revenge.,"Charts the headlong fall of Pinkie, a razor-wielding disadvantaged teenager with a religious death wish.",111,BBC Films|StudioCanal|UK Film Council,9/13/2010,22,5.4,2010,0.0,0.0
3227,Color,Peyton Reed,139.0,98.0,235.0,229.0,Lindsay Sloane,4000.0,68353550.0,Comedy,Kirsten Dunst,Bring It On,70141,5270,Clare Kramer,1.0,championship|cheerleading|high school|teen comedy|teenage romance,http://www.imdb.com/title/tt0204946/?ref_=fn_tt_tt_1,385.0,English,USA,PG-13,10000000.0,464.0,5.9,1.85,0,tt020494,1588,0.736173,90449929,Kirsten Dunst|Jesse Bradford|Huntley Ritter|Eliza Dushku|Gabrielle Union,https://www.uphe.com/movies/bring-it-on,May the best moves win.,"The Toro cheerleading squad from Rancho Carne High School in San Diego has got spirit, spunk, sass and a killer routine that's sure to land them the national championship trophy for the sixth year in a row. But for newly-elected team captain, the Toros' road to total cheer glory takes a shady turn when she discovers that their perfectly-choreographed routines were in fact stolen.",98,Beacon Communications,8/25/2000,409,5.7,2000,35456179.2,114536031.8
1794,Color,Martin Scorsese,163.0,121.0,17000.0,245.0,Marc Anthony,12000.0,16640210.0,Drama,Nicolas Cage,Bringing Out the Dead,53028,13040,Sonja Sohn,0.0,ambulance|ghost|hell|paramedic|rescue,http://www.imdb.com/title/tt0163988/?ref_=fn_tt_tt_1,382.0,English,USA,R,55000000.0,368.0,6.8,2.35,0,tt016398,8649,0.855109,0,Nicolas Cage|Patricia Arquette|John Goodman|Ving Rhames|Tom Sizemore,,,"48 hours in the life of a burnt-out paramedic. Once called Father Frank for his efforts to rescue lives, Frank sees the ghosts of those he failed to save around every turn. He has tried everything he can to get fired, calling in sick, delaying taking calls where he might have to face one more victim he couldn't help, yet cannot quit the job on his own.",121,Paramount Pictures|Touchstone Pictures|De Fina-Cappa,10/22/1999,102,6.5,1999,41889691.09,0.0
3008,Color,Ang Lee,357.0,134.0,0.0,11000.0,Heath Ledger,15000.0,83025853.0,Drama,Jake Gyllenhaal,Brokeback Mountain,259837,39789,Anne Hathaway,0.0,gay relationship|homosexuality|mountain|ranch|rodeo,http://www.imdb.com/title/tt0388795/?ref_=fn_tt_tt_1,2254.0,English,USA,R,14000000.0,13000.0,7.7,1.85,13000,tt038879,142,1.475604,178043761,Heath Ledger|Jake Gyllenhaal|Randy Quaid|Michelle Williams|Anne Hathaway,http://www.brokebackmountain.com,Love is a force of nature.,Brokeback Mountain is an Ang Lee film about two modern day cowboys who meet on a shepherding job in the summer of â€™63. The two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live.,134,River Road Entertainment|Alberta Film Entertainment|Focus Features|Good Machine,9/2/2005,780,7.2,2005,15631886.06,198797127.5
2227,Color,Jonathan Kaplan,70.0,100.0,57.0,92.0,Tom Amandes,181.0,10114315.0,Drama,John Doe,Brokedown Palace,18693,582,Daniel Lapaine,0.0,bangkok|friend|lawyer|smuggling|thailand,http://www.imdb.com/title/tt0120620/?ref_=fn_tt_tt_1,187.0,English,USA,PG-13,25000000.0,151.0,6.4,2.35,0,tt012062,17707,0.566661,13000000,Claire Danes|Kate Beckinsale|Bill Pullman|Jacqueline Kim|Lou Diamond Phillips,,"Their graduation present was a trip to paradise, but they never thought they would land in hell.","Best friends Alice and Darlene take a trip to Thailand after graduating high school. In Thailand, they meet a captivating Australian man, who calls himself Nick Parks. Darlene is particularly smitten with Nick and convinces Alice to take Nick up on his offer to treat the two of them to what amounts to a day trip to Hong Kong. In the airport, the girls are seized by the police and shocked to discover that one of their bags contains heroin.",100,Twentieth Century Fox Film Corporation|Fox 2000 Pictures|Adam Fields Productions|Two Girls Productions,8/13/1999,52,6.3,1999,32726321.16,17017687.01
